11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
20:11:18.954 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:19.958 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:20.969 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:21.948 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:22.956 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:23.958 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:24.951 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:26.001 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:26.958 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:27.987 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:28.981 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:29.992 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:30.979 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:32.016 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:32.997 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:33.994 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:35.016 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:36.045 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:37.021 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:38.011 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:39.025 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:40.035 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:41.042 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:42.036 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:43.064 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:44.065 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:45.044 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:46.064 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:47.066 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:48.066 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:49.085 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:50.075 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:51.087 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:52.106 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:53.127 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:54.113 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:55.135 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:56.130 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:57.139 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:58.119 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:59.138 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:00.140 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:01.119 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:02.125 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:03.132 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:04.145 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:05.142 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:06.184 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:07.165 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:08.176 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:09.178 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:12:10.185 -> 	2435LFlow rate: 11.32L/min	Output Liquid Quantity: 2435361mL
20:12:11.175 -> 	2435LFlow rate: 9.10L/min	Output Liquid Quantity: 2435512mL
20:12:12.199 -> 	2435LFlow rate: 9.32L/min	Output Liquid Quantity: 2435667mL
20:12:13.210 -> 	2435LFlow rate: 9.09L/min	Output Liquid Quantity: 2435818mL
20:12:14.206 -> 	2435LFlow rate: 9.10L/min	Output Liquid Quantity: 2435969mL
20:12:15.196 -> 	2435LFlow rate: 9.10L/min	Output Liquid Quantity: 2436120mL
20:12:16.235 -> 	2436LFlow rate: 8.88L/min	Output Liquid Quantity: 2436268mL
20:12:17.215 -> 	2436LFlow rate: 8.88L/min	Output Liquid Quantity: 2436416mL
20:12:18.210 -> 	2436LFlow rate: 9.10L/min	Output Liquid Quantity: 2436567mL
20:12:19.243 -> 	2436LFlow rate: 9.10L/min	Output Liquid Quantity: 2436718mL
20:12:20.210 -> 	2436LFlow rate: 9.10L/min	Output Liquid Quantity: 2436869mL
20:12:21.237 -> 	2436LFlow rate: 9.10L/min	Output Liquid Quantity: 2437020mL
20:12:22.240 -> 	2437LFlow rate: 9.10L/min	Output Liquid Quantity: 2437171mL
20:12:23.260 -> 	2437LFlow rate: 9.10L/min	Output Liquid Quantity: 2437322mL
20:12:24.235 -> 	2437LFlow rate: 9.10L/min	Output Liquid Quantity: 2437473mL
20:12:25.248 -> 	2437LFlow rate: 9.10L/min	Output Liquid Quantity: 2437624mL
20:12:26.260 -> 	2437LFlow rate: 9.32L/min	Output Liquid Quantity: 2437779mL
20:12:27.256 -> 	2437LFlow rate: 9.10L/min	Output Liquid Quantity: 2437930mL
20:12:28.261 -> 	2437LFlow rate: 9.10L/min	Output Liquid Quantity: 2438081mL
20:12:29.276 -> 	2438LFlow rate: 9.10L/min	Output Liquid Quantity: 2438232mL
20:12:30.284 -> 	2438LFlow rate: 9.10L/min	Output Liquid Quantity: 2438383mL
20:12:31.304 -> 	2438LFlow rate: 9.10L/min	Output Liquid Quantity: 2438534mL
20:12:32.269 -> 	2438LFlow rate: 9.10L/min	Output Liquid Quantity: 2438685mL
20:12:33.289 -> 	2438LFlow rate: 9.10L/min	Output Liquid Quantity: 2438836mL
20:12:34.314 -> 	2438LFlow rate: 8.88L/min	Output Liquid Quantity: 2438984mL
20:12:35.296 -> 	2438LFlow rate: 9.32L/min	Output Liquid Quantity: 2439139mL
20:12:36.322 -> 	2439LFlow rate: 9.10L/min	Output Liquid Quantity: 2439290mL
20:12:37.295 -> 	2439LFlow rate: 9.10L/min	Output Liquid Quantity: 2439441mL
20:12:38.330 -> 	2439LFlow rate: 8.88L/min	Output Liquid Quantity: 2439589mL
20:12:39.328 -> 	2439LFlow rate: 9.32L/min	Output Liquid Quantity: 2439744mL
20:12:40.328 -> 	2439LFlow rate: 8.88L/min	Output Liquid Quantity: 2439892mL
20:12:41.327 -> 	2439LFlow rate: 9.10L/min	Output Liquid Quantity: 2440043mL
20:12:42.354 -> 	2440LFlow rate: 9.10L/min	Output Liquid Quantity: 2440194mL
20:12:43.362 -> 	2440LFlow rate: 8.88L/min	Output Liquid Quantity: 2440342mL
20:12:44.338 -> 	2440LFlow rate: 9.10L/min	Output Liquid Quantity: 2440493mL
20:12:45.348 -> 	2440LFlow rate: 8.88L/min	Output Liquid Quantity: 2440641mL
20:12:46.333 -> 	2440LFlow rate: 9.10L/min	Output Liquid Quantity: 2440792mL
20:12:47.380 -> 	2440LFlow rate: 9.10L/min	Output Liquid Quantity: 2440943mL
20:12:48.357 -> 	2440LFlow rate: 4.22L/min	Output Liquid Quantity: 2441013mL
20:12:49.354 -> 	2441LFlow rate: 0.67L/min	Output Liquid Quantity: 2441024mL
20:12:50.388 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:51.401 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:52.397 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:53.380 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:54.413 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:55.402 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:56.420 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:57.403 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:58.393 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:12:59.434 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:00.405 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:01.456 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:02.418 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:03.422 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:04.459 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:05.436 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:06.440 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:07.468 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:08.438 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:09.452 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:10.458 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:11.495 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:12.459 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:13.475 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:14.507 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:15.512 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:16.509 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:17.512 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:18.501 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:19.494 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:20.509 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:21.509 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:22.547 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:23.517 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:24.543 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:25.542 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:26.546 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:27.554 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:28.565 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:29.547 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:30.571 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:31.590 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:32.580 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:33.593 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:34.575 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:35.578 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:36.579 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:37.579 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:38.587 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:39.595 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:40.622 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:41.595 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:42.606 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:43.616 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:44.649 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:45.617 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:46.640 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:47.662 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:48.632 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:49.656 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:50.656 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:51.644 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:52.680 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:53.665 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:54.656 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:55.666 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:56.687 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:57.698 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:58.676 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:13:59.692 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:00.702 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:01.713 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:02.737 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:03.741 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:04.715 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:05.717 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:06.728 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:07.746 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:08.734 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:09.756 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:10.739 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:11.748 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:12.743 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:13.776 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:14.778 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:15.783 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:16.803 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:17.775 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:18.805 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:19.780 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:20.796 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:21.826 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:22.812 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:23.837 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:24.797 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:25.834 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:26.832 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:27.850 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:28.832 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:29.838 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:30.869 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:31.874 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:32.843 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:33.844 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:34.868 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:35.883 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:36.873 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:37.897 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:38.870 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:39.901 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:40.879 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:41.880 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:42.902 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:43.898 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:44.910 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:45.934 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:46.921 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:47.923 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:48.923 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:49.954 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:50.926 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:51.951 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:52.955 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:53.939 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:54.955 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:55.984 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:56.949 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:57.977 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:58.978 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:14:59.967 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:01.008 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:01.974 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:02.987 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:04.007 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:05.025 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:06.003 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:07.022 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:08.002 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:09.026 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:10.016 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:11.044 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:12.055 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:13.069 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:14.066 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:15.036 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:16.069 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:17.057 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:18.063 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:19.083 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:20.078 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:21.066 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:22.095 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:23.112 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:24.092 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:25.096 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:26.090 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:27.130 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:28.136 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:29.115 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:30.113 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:31.115 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:32.137 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:33.164 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:34.130 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:35.159 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:36.153 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:37.183 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:38.189 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:39.164 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:40.164 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:41.196 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:42.175 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:43.185 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:44.204 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:45.210 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:46.186 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:47.211 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:48.197 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:49.203 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:50.236 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:51.220 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:52.241 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:53.256 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:54.243 -> 	2441LFlow rate: 0.00L/min	Output Liquid Quantity: 2441024mL
20:15:55.223 -> 	2441LFlow rate: 9.10L/min	Output Liquid Quantity: 2441175mL
20:15:56.245 -> 	2441LFlow rate: 9.10L/min	Output Liquid Quantity: 2441326mL
20:15:57.257 -> 	2441LFlow rate: 9.10L/min	Output Liquid Quantity: 2441477mL
20:15:58.274 -> 	2441LFlow rate: 9.32L/min	Output Liquid Quantity: 2441632mL
20:15:59.265 -> 	2441LFlow rate: 8.88L/min	Output Liquid Quantity: 2441780mL
